«Рождение Венеры»,Сандро Боттичелли,Галере́я Уффи́ци,1486,мифологический жанр
«Инферно»,Сандро Боттичелли,Музеи Ватикана,1485,религиозная живопись
«Кающаяся Мария Магдалина»,Тициа́н Вече́ллио,Государственный Эрмитаж,1565,религиозная живопись
«Диана и Каллисто»,Тициа́н Вече́ллио,Герцог Сазерленд,1559,аллегория
«Звёздная ночь»,Винсент ван Гог,Музей современного искусства,1889,небесный пейзаж
«Постоянство памяти»,Сальвадор Дали,Музей современного искусства,1931,символическая живопись
«Цветущие ветки миндаля»,Винсент ван Гог,Музей Винсента ван Гога,1890,цветочный натюрморт
«Море. Коктебель»,Иван Айвазовский,Феодосийская картинная галерея имени И. К. Айвазовского,1853,марина
«Тайная вечеря»,Леонардо да Винчи,Санта-Мария-делле-Грацие,1495,религиозная живопись
«Дама с горностаем»,Леонардо да Винчи,Национальный музей в Кракове,1490,портрет
«Сон»,Пабло Пикассо,Стив Коэн,1932,портрет
«Мрачная игра»,Сальвадор Дали,Дом Ноаи,1929,символическая живопись
«Девятый вал»,Иван Айвазовский,Государственный Русский музей,1850,марина
«Последний день Помпеи»,Карл Брюллов,Государственный Русский музей,1833,историческая живопись
«Яблоня II»,Густав Климт,Бернар Арно,1916,пейзаж
